# 切割規則：從原始錄音切出音效的時間軸
#
# 這份檔案是「配方」—— 跟 slice_assets.py 裡的像素座標同性質，是人工聽出來的
# 成果，必須進版控。音檔本身不進版控（見 .gitignore）。
#
# 重跑：把原始錄音放回 audio/src/，然後
#   python3 tools/slice_audio.py cut audio/src/machine.mp3 --cues audio/cues/machine.tsv
#
# 時間由使用者聽辨標定；bet 的起點從聽感的 19.3 修正到 19.535，
# 因為 19.30–19.54 只有背景音樂、沒有按鍵聲。
#
# 第四欄（選填）是淡出毫秒數，切在旋律中間的長片段要拉長，避免結尾斷得突兀。
#
# name	start	end	fade_out_ms
coin	17.280	18.560
bet	19.535	19.960
tick1	24.561	24.598
tick2	24.598	24.635
tick3	24.635	24.672
tick4	24.672	24.709
run_slow	22.560	23.700
# 中獎音樂。跟在跑燈後面，起音實測在 27.860（27.86 有 -42.8dB 的能量低谷，
# 前一段在那裡結束）。34.0 不是樂句結尾 —— 音樂一路延續到 36.5 都沒停，
# 這段旋律沒有乾淨的段落邊界，所以照標定切、結尾用 400ms 淡出收掉。
win	27.860	34.000	400
